Date,Latitude,Longitude,Temperature,Humidity,Rainfall,Season,Soil_Type,Water_Liters
2020-01-01,8.0,76.0,28.09,75.08,0.11,Winter,Black,123387.84000000001
2020-01-02,8.0,76.0,28.36,75.44,0.63,Winter,Black,119913.12
2020-01-03,8.0,76.0,28.56,77.93,1.12,Winter,Black,116335.88999999998
2020-01-04,8.0,76.0,28.17,78.82,3.46,Winter,Black,93496.86000000003
2020-01-05,8.0,76.0,28.46,77.96,5.03,Winter,Black,80695.08
2020-01-06,8.0,76.0,28.73,78.21,0.52,Winter,Black,122493.33000000002
2020-01-07,8.0,76.0,28.48,75.23,0.14,Winter,Black,124868.79000000001
2020-01-08,8.0,76.0,28.3,73.23,0.1,Winter,Black,124472.79000000001
2020-01-09,8.0,76.0,28.41,71.01,0.37,Winter,Black,122597.73000000001
2020-01-10,8.0,76.0,28.47,68.75,0.01,Winter,Black,126168.75
2020-01-11,8.0,76.0,28.34,67.63,0.01,Winter,Black,125613.99
2020-01-12,8.0,76.0,28.2,62.52,0.0,Winter,Black,125211.95999999999
2020-01-13,8.0,76.0,28.3,64.45,0.0,Winter,Black,125609.85
2020-01-14,8.0,76.0,28.05,67.04,0.0,Winter,Black,124414.92000000001
2020-01-15,8.0,76.0,27.78,68.57,0.01,Winter,Black,123068.61000000003
2020-01-16,8.0,76.0,27.77,65.88,0.01,Winter,Black,123096.24
2020-01-17,8.0,76.0,28.17,66.71,0.12,Winter,Black,123883.83000000002
2020-01-18,8.0,76.0,28.25,75.41,0.22,Winter,Black,123108.93000000001
2020-01-19,8.0,76.0,28.26,78.84,0.42,Winter,Black,121261.32000000002
2020-01-20,8.0,76.0,28.19,74.06,0.03,Winter,Black,124585.38000000002
2020-01-21,8.0,76.0,28.2,71.89,0.02,Winter,Black,124778.97000000002
2020-01-22,8.0,76.0,28.04,76.33,0.0,Winter,Black,124119.09000000001
2020-01-23,8.0,76.0,28.24,79.95,0.0,Winter,Black,124921.35
2020-01-24,8.0,76.0,28.3,73.72,0.0,Winter,Black,125359.56000000003
2020-01-25,8.0,76.0,27.89,71.55,0.0,Winter,Black,123573.15000000001
2020-01-26,8.0,76.0,27.77,69.74,0.01,Winter,Black,122992.01999999999
2020-01-27,8.0,76.0,27.84,65.51,0.0,Winter,Black,123511.23000000001
2020-01-28,8.0,76.0,27.86,69.23,0.0,Winter,Black,123500.79000000001
2020-01-29,8.0,76.0,28.14,70.05,0.01,Winter,Black,124648.65000000001
2020-01-30,8.0,76.0,28.07,72.14,0.01,Winter,Black,124277.22000000002
2020-01-31,8.0,76.0,28.22,72.43,0.01,Winter,Black,124944.39000000001
2020-02-01,8.0,76.0,28.12,72.43,0.0,Winter,Black,124584.39000000001
2020-02-02,8.0,76.0,28.2,70.59,0.0,Winter,Black,124994.06999999999
2020-02-03,8.0,76.0,28.09,68.49,0.0,Winter,Black,124555.76999999999
2020-02-04,8.0,76.0,28.15,69.63,0.0,Winter,Black,124794.98999999998
2020-02-05,8.0,76.0,28.19,72.01,0.27,Winter,Black,122480.73000000001
