Date,Temperature,Humidity,Rainfall,Latitude,Longitude
2020-01-01,28.09,75.08,0.11,8.0,76.0
2020-01-02,28.36,75.44,0.63,8.0,76.0
2020-01-03,28.56,77.93,1.12,8.0,76.0
2020-01-04,28.17,78.82,3.46,8.0,76.0
2020-01-05,28.46,77.96,5.03,8.0,76.0
2020-01-06,28.73,78.21,0.52,8.0,76.0
2020-01-07,28.48,75.23,0.14,8.0,76.0
2020-01-08,28.3,73.23,0.1,8.0,76.0
2020-01-09,28.41,71.01,0.37,8.0,76.0
2020-01-10,28.47,68.75,0.01,8.0,76.0
2020-01-11,28.34,67.63,0.01,8.0,76.0
2020-01-12,28.2,62.52,0.0,8.0,76.0
2020-01-13,28.3,64.45,0.0,8.0,76.0
2020-01-14,28.05,67.04,0.0,8.0,76.0
2020-01-15,27.78,68.57,0.01,8.0,76.0
2020-01-16,27.77,65.88,0.01,8.0,76.0
2020-01-17,28.17,66.71,0.12,8.0,76.0
2020-01-18,28.25,75.41,0.22,8.0,76.0
2020-01-19,28.26,78.84,0.42,8.0,76.0
2020-01-20,28.19,74.06,0.03,8.0,76.0
2020-01-21,28.2,71.89,0.02,8.0,76.0
2020-01-22,28.04,76.33,0.0,8.0,76.0
2020-01-23,28.24,79.95,0.0,8.0,76.0
2020-01-24,28.3,73.72,0.0,8.0,76.0
2020-01-25,27.89,71.55,0.0,8.0,76.0
2020-01-26,27.77,69.74,0.01,8.0,76.0
2020-01-27,27.84,65.51,0.0,8.0,76.0
2020-01-28,27.86,69.23,0.0,8.0,76.0
2020-01-29,28.14,70.05,0.01,8.0,76.0
2020-01-30,28.07,72.14,0.01,8.0,76.0
2020-01-31,28.22,72.43,0.01,8.0,76.0
2020-02-01,28.12,72.43,0.0,8.0,76.0
2020-02-02,28.2,70.59,0.0,8.0,76.0
2020-02-03,28.09,68.49,0.0,8.0,76.0
2020-02-04,28.15,69.63,0.0,8.0,76.0
2020-02-05,28.19,72.01,0.27,8.0,76.0
2020-02-06,28.03,72.77,0.07,8.0,76.0
2020-02-07,28.1,74.04,0.08,8.0,76.0
2020-02-08,27.78,76.91,1.56,8.0,76.0
2020-02-09,28.2,74.35,1.48,8.0,76.0
2020-02-10,28.6,71.93,0.3,8.0,76.0
2020-02-11,28.69,73.03,0.06,8.0,76.0
2020-02-12,28.65,69.1,0.89,8.0,76.0
2020-02-13,28.56,71.48,0.2,8.0,76.0
2020-02-14,28.08,72.28,5.12,8.0,76.0
2020-02-15,28.46,71.35,0.21,8.0,76.0
2020-02-16,28.27,70.56,0.0,8.0,76.0
2020-02-17,28.15,71.21,0.0,8.0,76.0
2020-02-18,28.1,67.22,0.0,8.0,76.0
2020-02-19,27.95,66.24,0.0,8.0,76.0
2020-02-20,27.94,69.5,0.0,8.0,76.0
2020-02-21,28.36,71.3,0.34,8.0,76.0
2020-02-22,28.94,77.38,1.01,8.0,76.0
2020-02-23,28.48,76.2,0.0,8.0,76.0
2020-02-24,28.58,74.32,0.0,8.0,76.0
2020-02-25,28.43,71.88,0.0,8.0,76.0
2020-02-26,28.53,71.11,0.0,8.0,76.0
2020-02-27,28.57,71.75,0.01,8.0,76.0
2020-02-28,28.7,72.15,0.58,8.0,76.0
2020-02-29,28.12,72.1,1.5,8.0,76.0
2020-03-01,28.55,70.02,0.0,8.0,76.0
2020-03-02,28.68,69.54,0.01,8.0,76.0
2020-03-03,28.58,74.89,0.14,8.0,76.0
2020-03-04,28.64,80.67,1.54,8.0,76.0
2020-03-05,28.58,79.51,1.77,8.0,76.0
2020-03-06,28.21,80.35,0.28,8.0,76.0
2020-03-07,28.3,73.95,0.21,8.0,76.0
2020-03-08,28.06,75.3,0.0,8.0,76.0
2020-03-09,28.01,79.23,0.81,8.0,76.0
2020-03-10,28.57,73.72,1.1,8.0,76.0
2020-03-11,28.9,71.55,0.2,8.0,76.0
2020-03-12,28.42,74.14,0.16,8.0,76.0
2020-03-13,28.75,72.3,0.0,8.0,76.0
2020-03-14,28.97,71.5,0.0,8.0,76.0
2020-03-15,28.73,74.76,0.0,8.0,76.0
2020-03-16,29.13,73.4,0.0,8.0,76.0
2020-03-17,29.21,78.34,0.03,8.0,76.0
2020-03-18,29.29,80.24,0.49,8.0,76.0
2020-03-19,29.04,76.53,1.4,8.0,76.0
2020-03-20,28.58,77.03,2.09,8.0,76.0
2020-03-21,29.14,74.3,0.9,8.0,76.0
2020-03-22,28.97,72.76,2.67,8.0,76.0
2020-03-23,28.86,74.64,2.54,8.0,76.0
2020-03-24,28.95,73.66,3.91,8.0,76.0
2020-03-25,28.51,74.86,3.7,8.0,76.0
2020-03-26,29.06,74.02,0.34,8.0,76.0
2020-03-27,29.33,72.43,0.2,8.0,76.0
2020-03-28,29.45,67.06,0.0,8.0,76.0
2020-03-29,28.79,72.29,0.2,8.0,76.0
2020-03-30,28.89,75.98,1.26,8.0,76.0
2020-03-31,28.99,75.77,0.84,8.0,76.0
2020-04-01,29.43,69.75,0.15,8.0,76.0
2020-04-02,29.22,76.42,0.25,8.0,76.0
2020-04-03,28.3,79.17,1.31,8.0,76.0
2020-04-04,28.79,74.58,2.39,8.0,76.0
2020-04-05,28.89,76.93,8.06,8.0,76.0
2020-04-06,28.87,77.85,1.45,8.0,76.0
2020-04-07,28.96,80.82,2.15,8.0,76.0
2020-04-08,28.91,82.87,2.11,8.0,76.0
2020-04-09,29.15,79.38,1.01,8.0,76.0
2020-04-10,29.39,74.28,0.4,8.0,76.0
2020-04-11,29.2,77.19,0.58,8.0,76.0
2020-04-12,29.56,76.54,0.72,8.0,76.0
2020-04-13,29.05,77.96,0.27,8.0,76.0
2020-04-14,29.52,74.06,0.46,8.0,76.0
2020-04-15,29.24,75.67,0.38,8.0,76.0
2020-04-16,28.97,76.62,1.54,8.0,76.0
2020-04-17,29.29,74.85,1.58,8.0,76.0
2020-04-18,29.57,78.48,0.65,8.0,76.0
2020-04-19,29.59,75.13,2.2,8.0,76.0
2020-04-20,29.89,75.66,2.32,8.0,76.0
2020-04-21,30.29,72.9,4.49,8.0,76.0
2020-04-22,29.76,76.65,2.81,8.0,76.0
2020-04-23,30.1,79.77,4.39,8.0,76.0
2020-04-24,30.18,80.72,5.33,8.0,76.0
2020-04-25,30.28,77.43,4.52,8.0,76.0
2020-04-26,30.28,76.57,2.82,8.0,76.0
2020-04-27,30.31,78.5,2.59,8.0,76.0
2020-04-28,29.96,76.66,6.13,8.0,76.0
2020-04-29,29.45,78.96,8.44,8.0,76.0
2020-04-30,29.9,78.07,1.54,8.0,76.0
2020-05-01,29.98,74.5,0.48,8.0,76.0
2020-05-02,29.89,81.83,4.06,8.0,76.0
2020-05-03,30.34,81.79,7.27,8.0,76.0
2020-05-04,30.33,81.69,4.85,8.0,76.0
2020-05-05,29.83,82.84,11.68,8.0,76.0
2020-05-06,30.01,74.46,11.38,8.0,76.0
2020-05-07,30.1,75.36,11.42,8.0,76.0
2020-05-08,29.36,80.61,7.34,8.0,76.0
2020-05-09,28.95,80.78,6.94,8.0,76.0
2020-05-10,29.48,77.18,12.17,8.0,76.0
2020-05-11,29.68,79.26,20.12,8.0,76.0
2020-05-12,30.12,71.78,9.84,8.0,76.0
2020-05-13,29.25,77.65,11.81,8.0,76.0
2020-05-14,29.83,80.31,7.0,8.0,76.0
2020-05-15,29.18,85.39,20.86,8.0,76.0
2020-05-16,30.06,76.74,5.7,8.0,76.0
2020-05-17,30.23,77.85,4.37,8.0,76.0
2020-05-18,29.6,81.03,51.69,8.0,76.0
2020-05-19,30.2,78.16,5.2,8.0,76.0
2020-05-20,29.78,81.33,2.89,8.0,76.0
2020-05-21,29.45,75.96,10.6,8.0,76.0
2020-05-22,29.47,76.67,2.92,8.0,76.0
2020-05-23,29.5,81.42,0.37,8.0,76.0
2020-05-24,29.58,82.78,9.91,8.0,76.0
2020-05-25,29.68,81.87,13.35,8.0,76.0
2020-05-26,29.55,83.38,10.0,8.0,76.0
2020-05-27,29.78,83.41,2.13,8.0,76.0
2020-05-28,29.51,82.13,8.24,8.0,76.0
2020-05-29,28.98,80.01,16.32,8.0,76.0
2020-05-30,28.07,83.84,16.79,8.0,76.0
2020-05-31,28.54,84.05,10.26,8.0,76.0
